Synonym,Original_drug
Hirudin variant-1,Lepirudin
Lepirudin recombinant,Lepirudin
Cetuximab,Cetuximab
C̩tuximab,Cetuximab
Cetuximabum,Cetuximab
Immunoglobulin G 1 (human-mouse monoclonal C 225 gamma 1 - chain anti-human epidermal growt factor receptor)  disulfide wit human-mouse monoclonal C 225 kappa - chain  dimer,Cetuximab
Deoxyribonuclease (human clone 18-1 protein moiety),Dornase alfa
Dornase alfa  recombinant,Dornase alfa
Dornase alpha,Dornase alfa
Recombinant deoxyribonuclease (DNAse),Dornase alfa
Diphtheria toxin precursor,Denileukin diftitox
DT,Denileukin diftitox
NAD(+--diphthamide ADP- ribosyltransferase),Denileukin diftitox
CD120b,Etanercept
p75,Etanercept
p80 TNF-alpha receptor,Etanercept
TNF-R2,Etanercept
Tumor necrosis factor receptor 2,Etanercept
Tumor necrosis factor receptor superfamily member 1B precursor,Etanercept
Tumor necrosis factor receptor type II,Etanercept
Bivalirudina,Bivalirudin
Bivalirudinum,Bivalirudin
Hirulog,Bivalirudin
(D-Leu(6) des-gly-NH2(10) pro-ethylamide(9))-gonadotropin-releasing hormone,Leuprolide
L-Pyroglutamyl-L-histidyl-L-tryptophyl-L-seryl-L-tyrosyl-D-leucyl-L-leucyl-L-arginyl-L-proline ethylamide,Leuprolide
Leuprorelin,Leuprolide
Leuprorelina,Leuprolide
Leuproreline,Leuprolide
Leuprorelinum,Leuprolide
PGlu-his-trp-ser-tyr-D-leu-leu-arg-pro-NHC2H5,Leuprolide
PGlu-his-trp-ser-tyr-D-leu-leu-arg-pro-nhet,Leuprolide
Pegylated interferon alfa-2a,Peginterferon alfa-2a
Pegylated interferon alpha2a,Peginterferon alfa-2a
Alteplase (genetical recombination),Alteplase
Alteplase  recombinant,Alteplase
Alteplase recombinant,Alteplase
Plasminogen activator (human tissue-type protein moiety),Alteplase
rt-PA,Alteplase
t-PA,Alteplase
t-plasminogen activator,Alteplase
Tissue plasminogen activator,Alteplase
Tissue plasminogen activator alteplase,Alteplase
Tissue plasminogen activator  recombinant,Alteplase
tPA,Alteplase
Interferon alpha-2,Interferon alfa-n1
Interferon alpha-A,Interferon alfa-n1
Interferon alpha-n1 (Ins),Interferon alfa-n1
LeIF A,Interferon alfa-n1
Darbepoetin,Darbepoetin alfa
Darbepoetin alfa recombinant,Darbepoetin alfa
U-plasminogen activator,Urokinase
uPA,Urokinase
Urokinase-type plasminogen activator precursor,Urokinase
Human t-PA (residues 1-3 and 176-527),Reteplase
Reteplase  recombinant,Reteplase
Reteplase recombinant,Reteplase
E.P.O.,Erythropoietin
Epoetin alfa,Erythropoietin
Epoetin alfa rDNA,Erythropoietin
Epoetin alfa  recombinant,Erythropoietin
Epoetin beta,Erythropoietin
Epoetin beta rDNA,Erythropoietin
Epoetin epsilon,Erythropoietin
Epoetin gamma,Erythropoietin
Epoetin gamma rDNA,Erythropoietin
Epoetin kappa,Erythropoietin
Epoetin omega,Erythropoietin
Epoetin theta,Erythropoietin
Epoetin zeta,Erythropoietin
Epoetina dseta,Erythropoietin
Epo̩tine z̻ta,Erythropoietin
Epoetinum zeta,Erythropoietin
Erythropoiesis stimulating factor,Erythropoietin
Erythropoietin (human  recombinant),Erythropoietin
Erythropoietin (recombinant human),Erythropoietin
ESF,Erythropoietin
SH-polypeptide-72,Erythropoietin
Calcitonin (Salmon Synthetic),Salmon Calcitonin
Calcitonin Salmon,Salmon Calcitonin
Calcitonin salmon recombinant,Salmon Calcitonin
Calcitonin-salmon,Salmon Calcitonin
Calcitonin  salmon,Salmon Calcitonin
Recombinant salmon calcitonin,Salmon Calcitonin
Salmon calcitonin,Salmon Calcitonin
Granulocyte colony-stimulating factor pegfilgrastim,Pegfilgrastim
Peg-filgrastim,Pegfilgrastim
GM-CSF,Sargramostim
Asparaginase (E. coli),Asparaginase
